BO,Name,PA,AB,1B,2B,3B,HR,RUNS,RBI,BB,HBP,SAC,SO,SB,CS,AVG,OB,SLG,ERRS
1,Alex Smith,5,2,1,0,0,0,3,0,3,0,0,0,3,0,0.500,0.800,0.500,0
2,Matthew Rickard,5,4,2,0,0,0,2,1,0,1,0,0,3,0,0.500,0.600,0.500,0
3,Ryan Rangel,5,1,0,0,0,0,3,1,4,0,0,0,1,0,0.000,0.800,0.000,0
4,Josh Palmer,5,4,2,0,0,0,0,2,1,0,0,0,1,0,0.500,0.600,0.500,0
5,Zabi Sharifi,5,5,2,0,0,0,1,3,0,0,0,0,1,0,0.400,0.400,0.400,0
6,Ryan Sterling,5,4,3,0,0,0,1,2,1,0,0,1,4,0,0.750,0.800,0.750,0
7,Jacob Tobin,5,5,2,0,0,0,1,0,0,0,0,0,0,0,0.400,0.400,0.400,0
8,Bobby Klein,5,4,2,0,0,0,1,0,1,0,0,0,1,0,0.500,0.600,0.500,0
9,Mark Reid,4,2,1,0,0,0,1,1,2,0,0,0,0,0,0.500,0.750,0.500,0
10,Jason French,4,4,0,1,0,0,1,2,0,0,0,0,1,0,0.250,0.250,0.500,0
Totals,,48,35,15,1,0,0,14,12,12,1,0,1,15,0,0.457,0.604,0.486,0
